Example,Embedding,NLI,Accuracy,Completeness,Relevance,Clarity,JCJS
37,0.6594,0.7444,0.3333,0.3556,0.5504,0.6201,0.5834
38,0.7652,0.6164,0.0,0.0,0.4777,0.6306,0.484
39,0.7361,0.722,0.0,0.1,0.4203,0.6419,0.5098
40,0.596,0.6085,0.5455,0.1818,0.6065,0.5281,0.5339
41,0.8441,0.6534,0.25,0.1333,0.4797,0.649,0.5634
42,0.643,0.8603,0.0,0.3,0.4239,0.6665,0.5496
43,0.7853,0.7051,0.0,0.0,0.5458,0.6186,0.5181
44,0.7115,0.6676,0.0,0.0667,0.3905,0.638,0.4817
45,0.7851,0.1922,0.2727,0.3282,0.4676,0.687,0.4638
46,0.8274,0.3167,0.0,0.1111,0.5854,0.6141,0.4499
47,0.8339,0.2068,0.0,0.05,0.507,0.506,0.3931
48,0.7506,0.464,0.125,0.3325,0.4659,0.7078,0.5075
49,0.6849,0.6971,0.0,0.0,0.4597,0.5757,0.4749
50,0.792,0.8709,0.0,0.2235,0.5388,0.7117,0.6
51,0.7352,0.6958,0.4,0.16,0.5243,0.7335,0.585
52,0.7984,0.7266,0.0,0.0533,0.5391,0.6712,0.5392
53,0.6459,0.4941,0.0,0.0,0.4785,0.5166,0.4094
54,0.7896,0.152,0.0,0.0,0.4593,0.5799,0.3653
55,0.7318,0.6975,0.0,0.0471,0.3856,0.5081,0.4749
56,0.836,0.7207,0.75,0.3,0.5721,0.6617,0.6747
57,0.8383,0.586,0.0,0.0235,0.6189,0.5919,0.5104
58,0.7847,0.5068,0.0,0.0,0.4998,0.5789,0.4577
59,0.7922,0.7533,0.0,0.0364,0.3966,0.5355,0.5074
60,0.6859,0.6168,0.0,0.0,0.5675,0.5978,0.4713
61,0.8208,0.7236,0.0,0.0615,0.3836,0.5942,0.516
62,0.7365,0.7466,0.0,0.0286,0.4443,0.6286,0.5085
63,0.6416,0.7167,0.2857,0.2286,0.4411,0.6959,0.546
64,0.6977,0.4564,0.3,0.2769,0.6569,0.6873,0.5287
65,0.7252,0.5457,0.8,0.32,0.5496,0.6159,0.6034
66,0.8174,0.7535,0.0,0.2727,0.532,0.577,0.5654
67,0.8072,0.4956,0.75,0.4,0.4404,0.5752,0.5964
68,0.6589,0.5347,0.6667,0.3974,0.4503,0.6476,0.5686
69,0.7983,0.6891,0.5,0.2,0.4333,0.5969,0.5881
70,0.7141,0.2978,0.3333,0.1333,0.4689,0.5903,0.4437
71,0.8684,0.7978,0.0,0.0,0.5236,0.6406,0.5621
72,0.8076,0.6937,0.3333,0.1833,0.5115,0.6268,0.5822
73,0.8203,0.6258,0.5,0.2,0.5021,0.5899,0.5855
74,0.865,0.2955,0.0,0.0348,0.4808,0.5654,0.4252
75,0.869,0.176,0.0,0.0632,0.5952,0.6245,0.4216
76,0.7448,0.7415,0.1667,0.0,0.5238,0.557,0.5275
77,0.8072,0.5231,0.25,0.3545,0.5952,0.6374,0.5622
78,0.6796,0.5961,0.0,0.0571,0.4805,0.7015,0.4738
79,0.7868,0.544,0.0,0.1,0.443,0.6044,0.4761
80,0.5467,0.6425,0.0,0.2588,0.247,0.7285,0.4516
81,0.818,0.2533,0.0,0.0667,0.5185,0.4654,0.3992
82,0.7815,0.7857,0.0,0.05,0.4842,0.6453,0.5392
83,0.8259,0.3214,0.0,0.0632,0.5258,0.477,0.4201
84,0.8367,0.7187,0.0,0.0,0.6181,0.5749,0.538
85,0.7872,0.7464,0.5,0.3964,0.4992,0.6965,0.6449
86,0.733,0.5956,0.2222,0.3145,0.5169,0.535,0.5307
87,0.825,0.812,0.0,0.159,0.4061,0.5288,0.546
88,0.8967,0.3399,0.0,0.0,0.6056,0.5594,0.4548
89,0.8312,0.5069,0.2,0.0571,0.4753,0.4831,0.4865
90,0.7328,0.7663,0.1429,0.3629,0.4594,0.6761,0.5799
91,0.6405,0.8085,0.2857,0.5302,0.4843,0.6814,0.6099
92,0.7105,0.6322,0.0,0.16,0.4713,0.6718,0.4986
93,0.8382,0.735,0.0,0.0364,0.606,0.65,0.5549
94,0.7537,0.6588,0.5,0.3222,0.5676,0.5733,0.5985
95,0.6651,0.7856,0.25,0.2308,0.4225,0.6259,0.5538
96,0.7838,0.5006,0.1429,0.105,0.5003,0.5766,0.4867
97,0.8405,0.8766,0.5,0.3714,0.5557,0.6862,0.6934
98,0.7213,0.5921,0.0,0.0889,0.4592,0.6056,0.4725
99,0.7136,0.8492,0.0,0.1143,0.5906,0.567,0.5497
100,0.7543,0.5643,0.5714,0.3923,0.5661,0.6515,0.6023
101,0.7895,0.7097,0.1667,0.0667,0.4781,0.7033,0.5516
102,0.7349,0.8992,0.0,0.032,0.5062,0.7053,0.564
103,0.7036,0.4376,0.0,0.125,0.5039,0.6551,0.4458
104,0.7354,0.8195,0.0,0.2533,0.4522,0.6328,0.556
105,0.8139,0.4776,0.0,0.0,0.5591,0.7361,0.4848
106,0.7565,0.8508,0.4,0.2691,0.3438,0.5563,0.598
107,0.6982,0.3908,0.0,0.16,0.5026,0.5851,0.4282
108,0.7343,0.3914,0.3333,0.1484,0.5005,0.6716,0.4881
109,0.6861,0.641,0.25,0.1308,0.6305,0.5188,0.523
110,0.778,0.5673,0.0,0.2857,0.4725,0.6115,0.5075
111,0.9037,0.7049,0.0,0.0,0.4984,0.612,0.5409
112,0.8108,0.225,0.0,0.125,0.5108,0.5651,0.4091
113,0.8368,0.0595,0.75,0.32,0.443,0.4872,0.4741
114,0.736,0.714,0.2143,0.0571,0.5092,0.6581,0.5423
115,0.6869,0.6438,0.3333,0.22,0.5395,0.6131,0.5459
116,0.713,0.7534,0.6,0.28,0.6653,0.5832,0.6327
117,0.7463,0.3417,0.0,0.1,0.3848,0.6265,0.4109
118,0.6708,0.3592,0.0,0.0267,0.4184,0.5204,0.3782
119,0.7791,0.7216,0.2941,0.15,0.5491,0.7468,0.5927
120,0.7151,0.4608,0.25,0.1244,0.4242,0.7171,0.4835
121,0.7965,0.4882,0.0,0.0,0.436,0.6634,0.4586
122,0.7463,0.6318,0.0,0.0308,0.5263,0.5874,0.4876
123,0.8866,0.379,0.0,0.075,0.6017,0.5683,0.472
124,0.8201,0.3044,0.3333,0.1333,0.4116,0.4862,0.4517
125,0.7329,0.3433,0.0,0.0286,0.4275,0.5267,0.3919
126,0.8281,0.7278,0.25,0.2044,0.4631,0.704,0.5917
127,0.7793,0.4558,0.3333,0.2362,0.4407,0.6981,0.5223
128,0.8191,0.7893,0.0,0.025,0.3662,0.5835,0.524
129,0.7806,0.7567,0.0,0.0267,0.454,0.6353,0.5238
130,0.8296,0.8257,0.0,0.2,0.5231,0.5903,0.578
131,0.595,0.6564,0.0,0.2857,0.2867,0.7177,0.4741
132,0.7881,0.2929,0.3333,0.26,0.5402,0.7279,0.5029
133,0.7955,0.7441,0.0,0.0,0.5566,0.5363,0.5215
134,0.8491,0.7416,0.25,0.3,0.4413,0.6591,0.604
135,0.8532,0.8157,0.0,0.0,0.4843,0.6608,0.5604
136,0.7795,0.6313,0.0,0.265,0.386,0.6683,0.5176
137,0.7127,0.6973,0.0,0.7,0.5052,0.6244,0.5812
138,0.928,0.4533,0.3333,0.1619,0.5578,0.5857,0.5502
139,0.6163,0.8195,0.0,0.0364,0.5442,0.583,0.5044
140,0.7642,0.8376,0.0,0.25,0.4956,0.5904,0.5674
141,0.8383,0.7128,0.0,0.14,0.4603,0.6013,0.538
142,0.7851,0.7134,0.0,0.22,0.5494,0.6807,0.5559
143,0.8254,0.6807,0.0,0.0235,0.4047,0.6084,0.5061
144,0.8884,0.516,0.1111,0.3167,0.5381,0.6646,0.5549
145,0.7989,0.8015,0.25,0.3333,0.6253,0.5933,0.6253
146,0.7969,0.5551,0.2,0.1164,0.5441,0.5993,0.5205
147,0.8204,0.8978,0.0,0.0,0.5677,0.5567,0.5701
148,0.8449,0.6486,0.4545,0.3712,0.5321,0.7625,0.6384
149,0.7599,0.7151,0.0,0.0762,0.4342,0.5648,0.5032
150,0.8119,0.7516,0.0,0.0727,0.5113,0.555,0.5333
151,0.6801,0.8021,0.0,0.025,0.5139,0.6094,0.5141
152,0.7401,0.681,0.5714,0.2714,0.7497,0.5703,0.6256
153,0.8351,0.213,0.0,0.1778,0.5481,0.6447,0.4334
154,0.8758,0.7543,0.5,0.0,0.5969,0.5969,0.6193
155,0.6667,0.6911,0.9,0.5765,0.8486,0.6864,0.7159
156,0.6952,0.7619,0.0,0.0,0.7716,0.6061,0.5365
157,0.7495,0.4139,0.5,0.425,0.2626,0.7046,0.5274
158,0.6888,0.6756,0.0,0.1981,0.4359,0.7309,0.5117
159,0.7014,0.2593,0.0,0.1333,0.4476,0.5783,0.3851
160,0.5645,0.491,0.2222,0.3524,0.4184,0.6448,0.4686
161,0.8442,0.9312,0.4,0.21,0.5057,0.772,0.6798
162,0.7392,0.333,0.0,0.0571,0.4935,0.6406,0.4169
163,0.7477,0.8875,0.0,0.0,0.4755,0.6416,0.5484
164,0.7702,0.7381,0.0,0.2889,0.3448,0.7276,0.5473
165,0.8021,0.4765,0.5714,0.3079,0.4931,0.617,0.5683
166,0.8743,0.525,0.0,0.2,0.5158,0.6512,0.5207
167,0.8671,0.7992,0.6667,0.3906,0.526,0.6829,0.6998
168,0.759,0.3285,0.0,0.1,0.3814,0.625,0.4102
169,0.8308,0.5212,0.3333,0.1333,0.4702,0.6166,0.5322
170,0.8838,0.7402,0.0,0.0,0.5234,0.5856,0.5446
171,0.8183,0.5298,0.6,0.3697,0.6624,0.6103,0.6173
172,0.6349,0.813,0.2,0.2545,0.4618,0.7563,0.571
173,0.7845,0.54,0.6667,0.259,0.5284,0.5879,0.5864
174,0.8323,0.7478,0.0,0.3516,0.385,0.6675,0.5705
175,0.7286,0.5385,0.0,0.3,0.3843,0.5804,0.4749
176,0.8242,0.1531,0.0,0.0,0.4023,0.5167,0.3592
177,0.8153,0.5936,0.0,0.0,0.5278,0.5771,0.4903
178,0.6945,0.5959,0.7143,0.3429,0.5875,0.8329,0.6323
179,0.8577,0.4879,0.4,0.2,0.6085,0.6518,0.5689
180,0.8269,0.5991,0.3333,0.2,0.4613,0.7234,0.5713
181,0.8337,0.7506,0.7143,0.35,0.438,0.7483,0.6774
182,0.8386,0.5735,0.0,0.219,0.5142,0.6376,0.5244
183,0.7921,0.4663,0.1667,0.2114,0.4655,0.6837,0.5055
184,0.8468,0.1984,0.0,0.0444,0.4386,0.6889,0.4078
185,0.844,0.8282,0.0,0.3,0.4685,0.6438,0.5946
186,0.8379,0.8951,0.0,0.3333,0.3787,0.7247,0.6128
187,0.7382,0.4523,0.0,0.24,0.3474,0.5653,0.4417
188,0.8478,0.6948,0.0,0.0,0.5479,0.6099,0.5304
189,0.6867,0.7303,0.8889,0.3167,0.4827,0.5985,0.6401
190,0.6968,0.525,0.4,0.1771,0.4793,0.5825,0.5103
191,0.8178,0.5155,0.5,0.5111,0.5358,0.6991,0.6141
192,0.7792,0.5814,0.0,0.2232,0.5191,0.6487,0.514
193,0.7052,0.793,0.0,0.0,0.6207,0.6709,0.536
194,0.8267,0.8679,0.0,0.1,0.5138,0.6372,0.58
195,0.7688,0.6945,0.0,0.0381,0.5162,0.6815,0.5203
196,0.8824,0.4356,0.0,0.4286,0.502,0.5964,0.5204
197,0.8098,0.4137,0.0,0.0667,0.4341,0.6092,0.4446
198,0.7159,0.5726,0.3333,0.1333,0.5467,0.6485,0.5299
199,0.8303,0.7855,0.0,0.0286,0.5688,0.6247,0.5567
200,0.8268,0.6492,0.6667,0.2974,0.4661,0.5213,0.6129
